Image Name,Classification
file1165.jpg,Malicious
file825.jpg,Malicious
file831.jpg,Malicious
file1171.jpg,Non-Malicious
file1159.jpg,Malicious
file819.jpg,Malicious
file1398.png,Malicious
file1373.png,Malicious
file1415.png,Non-Malicious
file158.jpg,Malicious
file1818.jpg,Malicious
file1401.png,Malicious
file1367.png,Malicious
file602.jpg,Malicious
file164.jpg,Malicious
file1824.jpg,Malicious
file1429.png,Malicious
file1830.jpg,Malicious
file170.jpg,Malicious
file616.jpg,Malicious
file399.jpg,Malicious
file46.jpg,Malicious
file52.jpg,Malicious
file1617.png,Malicious
file85.jpg,Malicious
file428.jpg,Non-Malicious
file91.jpg,Malicious
file1603.png,Malicious
file366.jpg,Malicious
file400.jpg,Malicious
file414.jpg,Malicious
file372.jpg,Malicious
file1213.jpg,Malicious
file1207.jpg,Malicious
file548.jpg,Malicious
file212.jpg,Malicious
file574.jpg,Malicious
file560.jpg,Malicious
file206.jpg,Malicious
file789.jpg,Malicious
file951.jpg,Malicious
file1011.jpg,Malicious
file1777.jpg,Malicious
file1763.jpg,Malicious
file1005.jpg,Malicious
file945.jpg,Malicious
file1993.jpg,Malicious
file1987.jpg,Malicious
file1039.jpg,Malicious
file979.jpg,Malicious
file992.jpg,Malicious
file1561.png,Malicious
file1978.jpg,Malicious
file1575.png,Malicious
file986.jpg,Malicious
file776.jpg,Malicious
file1950.jpg,Malicious
file1788.jpg,Malicious
file1549.png,Malicious
file1944.jpg,Malicious
file762.jpg,Malicious
file1945.jpg,Malicious
file1548.png,Malicious
file763.jpg,Malicious
file777.jpg,Malicious
file1789.jpg,Malicious
file1951.jpg,Malicious
file1574.png,Malicious
file1979.jpg,Malicious
file987.jpg,Malicious
file993.jpg,Malicious
file1560.png,Malicious
file1986.jpg,Malicious
file1038.jpg,Malicious
file978.jpg,Malicious
file1992.jpg,Malicious
file1762.jpg,Malicious
file1004.jpg,Malicious
file944.jpg,Malicious
file950.jpg,Malicious
file1010.jpg,Malicious
file788.jpg,Malicious
file1776.jpg,Malicious
file561.jpg,Malicious
file207.jpg,Malicious
file213.jpg,Malicious
file575.jpg,Malicious
file549.jpg,Non-Malicious
file1206.jpg,Malicious
file1212.jpg,Malicious
file415.jpg,Malicious
file373.jpg,Malicious
file367.jpg,Malicious
file401.jpg,Malicious
file90.jpg,Malicious
file429.jpg,Malicious
file1602.png,Malicious
file1616.png,Malicious
file84.jpg,Malicious
file53.jpg,Malicious
file398.jpg,Malicious
file47.jpg,Malicious
file1831.jpg,Malicious
file171.jpg,Malicious
file617.jpg,Malicious
file603.jpg,Malicious
file1428.png,Malicious
file165.jpg,Malicious
file1825.jpg,Malicious
file1400.png,Malicious
file1366.png,Malicious
file1372.png,Malicious
file159.jpg,Malicious
file1819.jpg,Malicious
file1414.png,Malicious
file1399.png,Malicious
file1158.jpg,Malicious
file818.jpg,Malicious
file830.jpg,Malicious
file1170.jpg,Malicious
file1164.jpg,Malicious
file824.jpg,Malicious
file1172.jpg,Malicious
file832.jpg,Malicious
file198.jpg,Malicious
file826.jpg,Malicious
file1166.jpg,Malicious
file1364.png,Malicious
file629.jpg,Non-Malicious
