Mean,StdDev,Min,Max,Range,Prediction
0.3977275578820486,0.05254148661502471,0.3015407542690522,0.5101124842099489,0.20857172994089673,Attack
0.3735172900575403,0.03148243739986133,0.3257016962593981,0.4351188077160954,0.1094171114566973,Attack
0.3641263767261202,0.04823815471695364,0.2921212768741619,0.4190797466706379,0.12695846979647601,Attack
0.42437288926583283,0.0791631387687984,0.2858909866826574,0.5140218530203751,0.22813086633771767,Attack
0.4294587976636127,0.05867068598114292,0.3182800486750376,0.5238033317500933,0.20552328307505568,Attack
0.3706575946079478,0.05115528734328216,0.3027812986576761,0.480479492980959,0.17769819432328288,Attack
0.3682905306197658,0.06309405840533232,0.2608787492674133,0.458455254494955,0.19757650522754172,Attack
0.36545458031542893,0.04775202545367742,0.296993932033838,0.4462404980646389,0.1492465660308009,Attack
0.3741836405865869,0.06015113233093322,0.2827162992168603,0.5062035991858107,0.2234872999689504,Attack
0.4226011126896475,0.07129483710349924,0.3463358769046105,0.5150244628159093,0.16868858591129882,Attack
0.39718168022315437,0.05044308325954463,0.3376621947024663,0.4699849906973485,0.13232279599488223,Attack
0.37263503067903214,0.050428278060737096,0.2979664446242225,0.4393696204813339,0.14140317585711137,Attack
0.43877634735060445,0.07042404093856502,0.3089771784474297,0.5273160297367885,0.21833885128935876,Attack
0.41255939045483025,0.046989219353274436,0.3176252989166465,0.4902957731414039,0.1726704742247574,Attack
0.3965668397894225,0.08223367765361694,0.2719781444132837,0.5059168278730174,0.23393868345973368,Attack
0.3775976791678578,0.05450073419309094,0.2764532674270659,0.4555131185564433,0.1790598511293774,Attack
0.3933903909629922,0.06119907713288404,0.3315212034544992,0.5233194039804608,0.19179820052596164,Attack
0.37589565719650797,0.05037628638486839,0.3102296397273681,0.4652050478507571,0.154975408123389,Attack
0.39628446808572676,0.07361753239682496,0.2762412081091843,0.5039901449293928,0.22774893682020847,Attack
0.41069358187723404,0.08218095964353213,0.2803328224495194,0.507298873084725,0.22696605063520559,Attack
0.43114008918544355,0.05564770189932874,0.3536018205553375,0.5160488712002529,0.16244705064491538,Attack
0.40316637945896094,0.06683836407256005,0.2990599065954265,0.5244125281095532,0.22535262151412672,Attack
0.386653790518924,0.058599542069908375,0.292771648431985,0.4529127545522505,0.1601411061202655,Attack
0.3371966844850795,0.07876844741347039,0.2570199218313113,0.490467238194512,0.2334473163632007,Attack
0.4144153496451538,0.0642721176054316,0.3177413125068426,0.5033593377234427,0.18561802521660004,Attack
0.36966814208472504,0.06027931426852792,0.2705337691436041,0.4746987235083865,0.20416495436478238,Attack
0.3742609182471507,0.06272284211880891,0.3044349369733382,0.4749996402825376,0.17056470330919943,Attack
0.37931191871515885,0.055625006199431955,0.2922195278766432,0.4651709636774361,0.17295143580079292,Attack
0.41406892572602894,0.04929232321234063,0.2961070015425202,0.4690142567089039,0.17290725516638372,Attack
0.3980596586734495,0.07247431646754786,0.2729908733064493,0.5103119534683772,0.23732108016192793,Attack
0.3959684131622536,0.05573532520960815,0.319956697085958,0.4887979713891919,0.16884127430323392,Attack
0.39290964020648583,0.09087634201772653,0.2516164689860004,0.5142925610496951,0.26267609206369474,Attack
0.3838171924616572,0.07338275533357587,0.2730719146073934,0.4949043952062752,0.22183248059888183,Attack
0.3984157002300427,0.062375243420804194,0.2930822092911277,0.5196717743272385,0.22658956503611083,Attack
0.35956094938651617,0.04529498866517639,0.3108155935304923,0.4432649867319998,0.1324493932015075,Attack
0.39593753181958485,0.06678742549047531,0.2762344088234331,0.4863174822439959,0.21008307342056282,Attack
0.3662106249156204,0.06613647897783055,0.2741138811694291,0.4532269708011984,0.1791130896317693,Attack
