Mean,StdDev,Min,Max,Range,Mode
0.38833227347574945,0.01350920340536087,0.3718437685069164,0.4084042135251783,0.03656044501826189,Normal
0.39390180508391776,0.012237591921176964,0.3730546819216329,0.4084392655820511,0.035384583660418245,Normal
0.39756942686351815,0.010997856249890855,0.372108150835594,0.4062227959116292,0.03411464507603518,Normal
0.39124164863107774,0.011327317231125657,0.3775229873431334,0.4074715826306617,0.0299485952875283,Normal
0.38794957623662396,0.010663755941578142,0.3732222898329899,0.4011951290385369,0.027972839205546995,Normal
0.3879311429343924,0.01125085340814864,0.369855573417738,0.4000210286513708,0.030165455233632787,Normal
0.38866742365126433,0.014863613816780636,0.3697606575337716,0.406082142489503,0.0363214849557314,Normal
0.3885538456822723,0.011975436215938442,0.3749909407027543,0.40646141439352,0.03147047369076572,Normal
0.38794553219054323,0.011528157939846519,0.3735468908648061,0.4045907294916174,0.031043838626811315,Normal
0.38675589963539003,0.011479766479502508,0.3710714634849917,0.4042004539757414,0.03312899049074969,Normal
0.38961016683967487,0.010722403212005521,0.3734781036362243,0.4032322441948816,0.02975414055865727,Normal
0.3846481818320032,0.011686385092044236,0.3703770918811077,0.401040315393316,0.03066322351220835,Normal
0.3867924851502332,0.012869079044931708,0.3701460165528434,0.4064528470693275,0.03630683051648409,Normal
0.38528693741061293,0.01034411694776852,0.3703533938138651,0.4004026140905525,0.030049220276687383,Normal
0.38851258763672775,0.013588536627016352,0.3700272600843102,0.4084737910259958,0.0384465309416856,Normal
0.39210199009430874,0.011961373288035312,0.3723956361454429,0.4083816532142615,0.0359860170688186,Normal
0.3844095192336375,0.007400892998711857,0.3744479007029064,0.3992117718844503,0.024763871181543884,Normal
0.3928687364077709,0.0070702584721894605,0.3843086683856189,0.4044996683527027,0.02019099996708379,Normal
0.3934648865828029,0.009617337408399918,0.3756327812822276,0.4054002196309038,0.02976743834867618,Normal
0.39519885498924784,0.010747739983326943,0.3718849632056906,0.4077653947492259,0.03588043154353532,Normal
0.38430186425099633,0.011072298406251183,0.3726735313747184,0.4057215822343171,0.033048050859598666,Normal
0.3831323261324026,0.009043547371818719,0.370989471902769,0.3990535605729143,0.028064088670145315,Normal
0.3827183865615165,0.013734492134003257,0.3708189287674097,0.4082620775155124,0.03744314874810273,Normal
0.3905679561771555,0.009019408371738607,0.3777152049522589,0.4055573863841045,0.02784218143184558,Normal
0.387378183103846,0.010393927596488215,0.3698192012722436,0.4059452008873498,0.03612599961510621,Normal
0.3925382400272777,0.01184876892937297,0.3722580097324804,0.4053079026509515,0.0330498929184711,Normal
0.3843349083267137,0.00869897050063112,0.3718103515043517,0.401236171115773,0.029425819611421267,Normal
0.3897443284432546,0.006774194207840816,0.3741913115710785,0.4002360464924882,0.026044734921409685,Normal
0.38582974777252443,0.015403645913460792,0.3702493894470343,0.4082752036830499,0.03802581423601564,Normal
0.39111132310699687,0.012357802654385974,0.3701166803307905,0.4045165012975086,0.03439982096671812,Normal
0.38696984785566957,0.008589331292204712,0.3735095635093977,0.3988125497771795,0.025302986267781824,Normal
0.3840257631757297,0.01183318331678411,0.3733279857969664,0.4074736906625456,0.03414570486557916,Normal
0.38804766484840103,0.012912118080017484,0.3716065076525252,0.4033990477296434,0.031792540077118236,Normal
0.3799789059458155,0.009386033251679936,0.3696911299469739,0.3961395791031133,0.02644844915613942,Normal
0.3857119433570483,0.01216268154237039,0.3701810801961147,0.4069620230463536,0.03678094285023892,Normal
0.3934034943970566,0.011454507258821234,0.3715845916556127,0.4067611012217347,0.035176509566122005,Normal
0.38892943293555376,0.01342854203492744,0.3707311940644794,0.406959019564762,0.036227825500282584,Normal
0.38492443071770466,0.010566245743752992,0.3729151855593918,0.4043671448840538,0.03145195932466199,Normal
0.38660633142393774,0.012680804118314907,0.3723993443877305,0.4061543165523897,0.033754972164659225,Normal
0.3936445097904085,0.011121101914161938,0.3748949739898887,0.4080889895005262,0.0331940155106375,Normal
0.39052570000871517,0.010068987969819745,0.373094975892442,0.3998185236090145,0.026723547716572482,Normal
0.3852029609998765,0.01136824756703336,0.3703440679899186,0.4077335650723422,0.03738949708242362,Normal
0.39085121127013633,0.01239753774693048,0.373765665657103,0.4075175424004285,0.03375187674332547,Normal
