heading,rudder angle,rudder power
91.84135520241955,0.41186248817252324,23340.371931090576
91.84160673409228,0.3798660469435024,21244.550189412977
91.84185322644646,0.44686916278025934,20948.177042624695
91.84209478587287,0.35560034042901845,21709.579108262536
91.8423198320709,0.3130895270556677,23147.105716352722
91.8425052527441,-0.037574859697897166,23601.01663046758
91.84261655314225,-0.1576048214175762,21152.977973823385
-264.7613213957648,-0.24412070747108505,22547.93378001481
-264.76147730055294,-0.3650776711219495,22202.871802356156
-264.76181338742816,-0.49631997610555084,21749.469373068645
-264.7623443298484,-0.877563280856604,21056.800619030153
-264.7630727259735,-1.1856546044896223,23504.1019561885
-264.76398925986314,-1.888497453708669,21971.813902055743
-264.7650728575393,-2.645223651306203,21170.83374928622
-264.7662908378885,-3.3947608298206458,22064.508440714737
-264.7675990583117,-4.191054887957589,23540.29410357037
-264.7689420550048,-4.276307263145435,23316.16098142925
-264.77025317779726,-4.284600673106851,23963.159941702736
-264.77146065955856,-4.646980165418337,21475.682773537854
-264.772493822461,-4.672145959887394,21452.302256734914
-264.77328304599973,-4.812227041931221,23099.941364314247
-264.77375973636765,-4.92072875417802,23203.244610436832
-264.7738562973717,-4.948451829338914,22110.25741730203
91.8304292079943,-5.039723462397446,23390.366042695932
91.83129183893556,-5.161380675220152,22888.335362031907
91.83273166671583,-5.104070562635261,21396.305439915097
91.83481255205925,-5.248226866430997,24059.5510806836
91.83759747564606,-5.129865883747376,21682.485490766514
91.84114855538894,-5.243862822984127,21838.72680126889
91.8455270614823,-5.421166548844633,22620.596311940128
91.85079342918752,-5.4405772363113725,22569.582177499622
91.85700726932676,-5.445663303223138,21190.82534330502
91.8642273764672,-5.359374855546849,22287.86646796302
91.87251173478506,-5.425713036545885,22781.710029718124
91.88191752160633,-5.463479788691673,20505.8546856999
91.89250110862635,-5.3631646563890865,22970.901426117038
91.9043180608173,-5.356384498669583,22659.366669691735
91.91742313303534,-5.197084249825357,21769.778526134953
91.93187026434556,-5.24284314815216,22046.583610383088
91.94771257008499,-5.132334197755343,22463.54257310581
91.9650023316885,-5.03895770318669,20991.97067478972
91.98379098430523,-4.877788113618447,23107.63837840797
92.0041291022356,-4.628462760788371,21989.602262635617
92.02606638222287,-4.596685475315462,23700.28788399979
92.04965162463465,-4.382978804477387,22009.924610836613
92.074932712573,-4.007394300686014,23082.987966843906
92.10195658895466,-3.878622000095577,23828.365349253283
92.13076923160396,-3.638205015919801,21254.293356248243
92.16141562640574,-3.1958745988284813,22316.737383622323
92.19393973856687,-2.8919497626186774,21963.153004979482
92.2283844820377,-2.295842824798711,22156.016745623623
92.26479168714873,-1.9497143263177255,22970.38589048435
92.30320206651969,-1.5661274602494586,21997.061301983187
92.34365517930306,-1.1638662698854425,22187.272971526978
92.38618939382529,-0.4714741969463362,22240.286357217956
92.43084184869491,0.07419668851824197,23191.96226022836
92.47764841244974,0.6384426534700638,24106.327420089245
92.52664364181825,0.9377266983966911,21696.82271623172
