CPU Usage,IO Usage,Memory Usage,Process Num,Network Bytes Rate,Packet Count,GPS X Offset,GPS Y Offset
0,0,0,0,0,0,0,0
12.259128882990842,12.261691343366124,19.374421887727443,270.52595315506005,6.678577726915038,607.2514040458038,2,2
14.574993299285168,10.80461316829448,20.927297882660103,287.5431139604605,9.591564219183153,651.1953051358888,4,4
17.741453837826363,5.6427160210827765,16.461445900123806,177.3395686100627,4.614542929641608,787.4553309313412,6,6
16.712292455809536,14.235207460214388,21.7389129748528,294.88900177878605,3.3929409797409784,753.367926025017,8,8
10.840718770445319,9.436389243468518,26.33045624498616,123.77865690282354,2.42180491781136,928.6851699916278,10,10
10.77680641947111,10.32518871174454,28.65603609147405,239.97331398919812,1.762925595612399,588.1278894026941,12,12
15.66172923382316,7.481462798581413,17.499909565429146,270.3436863079659,4.561495359132169,1196.0402979989271,14,14
19.186081676519386,10.512099502172186,24.017706947053764,127.7661308468478,8.621938608200411,853.0922288901139,16,16
12.425506756230988,5.623517052809083,16.657719798474123,162.0251555038631,4.249543659098588,983.5557315017738,18,18
16.243131116507083,12.260637895887022,22.97049638211928,281.1956654863891,0.8904183691139156,631.0191853445398,20,20
14.021657385564769,9.351316860200225,23.803489481592873,138.88001762832957,8.485547536697615,879.4628749084625,22,22
13.001246158923276,12.672659633770248,28.907473702364832,262.42376423438077,5.7142330203900205,784.5949545557484,24,24
16.67156331335624,13.079648072914715,29.210589313134246,185.82508820031418,9.582726404514313,949.539065574522,26,26
15.283549335103883,11.464287765711173,15.455770503137716,260.8443432427414,3.03771201144409,995.5149352281001,28,28
12.632882066391076,6.784998781936372,26.73336510483965,268.60944558614665,2.770920739933392,712.266057173687,30,30
16.34198755458059,13.056411230610463,23.437239994704,221.8580291469228,0.023882163485829944,632.9571635805232,32,32
18.363693045205373,7.206468508012412,20.17529303327509,228.6960008743695,7.092862866582212,585.5577255852274,34,34
13.127162100309722,10.250920056973179,21.378821313269395,117.93121464370198,8.738376387769701,873.7659723532548,36,36
14.220843304881443,8.03385630749836,17.812789140661597,299.4044842506171,2.091877145433083,756.1654008949936,38,38
11.914049156759592,13.436937535643565,22.58898219097859,141.44003776952235,7.861658594830842,646.8118841240748,40,40
12.2809235208842,14.696687676896783,25.617218243232372,210.77906215479712,2.3556671426094433,877.7456241849359,42,42
19.35743378837871,14.009390006714138,23.784982191777814,112.27714998227789,7.022898859203988,1022.6593477988673,44,44
18.901211680012192,6.244091982747483,29.08190325165991,217.35835084282974,0.5557337973462939,515.2394018041582,46,46
16.436536442844357,12.510862916732519,29.817601300893863,135.08745199202582,8.832109679044608,898.6848386546494,48,48
16.3691812716311,10.109377161144348,25.298190127588118,100.00124090283045,8.256247920999312,906.9912496347573,50,50
18.24060981892545,13.021271225141849,19.348972299633413,148.16084682235652,5.90983290723602,1125.6464741548784,52,52
17.81076113396301,7.251545944871857,20.83758268690803,209.65039032672422,2.9736819078861343,648.0286691094116,54,54
15.08371344781229,5.786845951658809,28.228702789386034,149.12468728876274,3.6675434148299644,1062.382432876396,56,56
