CPU Usage,IO Usage,Memory Usage,Process Num,Network Bytes Rate,Packet Count,GPS X Offset,GPS Y Offset,Attack_Type
0.0,0.0,0.0,0.0,0.0,0.0,0,0,normal
16.05459758442102,7.237191120501341,21.6491927263086,287.78985924317044,3.092183905514575,313.1280188566396,0,0,normal
12.6455834555281,7.189076471888272,20.465564764290857,234.1479804283072,0.8292287359575534,459.0262085121158,0,0,normal
13.76457519354133,9.683367998165128,29.71944470227887,151.71997020204276,5.545608501271585,343.603885401378,0,0,normal
11.5631941509418,6.515951563084038,24.060617677108212,265.2136028877997,8.997822800532335,349.2717939262508,0,0,normal
16.081177663101418,11.863658332637854,27.894225307542,149.30314073061356,7.282031589904983,471.6957897063492,0,0,normal
12.479094919323138,11.054485307702375,17.319507777315103,262.1605878235931,6.415508570323506,278.3160427496999,0,0,normal
10.396969740438108,7.102797902655311,17.59156176379239,108.24691282546368,9.69340025324008,264.83392649094543,0,0,normal
13.44051962552054,12.229235079972447,26.11009164100425,176.292998394222,6.219368793203656,289.58667698097,0,0,normal
19.61172971151262,12.790293904834932,24.73030414262268,236.11130673889284,0.0077906702989993,462.0827696283383,0,0,normal
19.689330233095617,14.57715161717582,29.06571531045771,153.01000164481644,4.650918702391179,378.33682857975583,0,0,normal
14.46934801669907,6.848830945342298,24.334972274740373,269.3742962085814,6.503976254357029,454.0300742165418,0,0,normal
15.007605095754784,5.80293988887706,15.982819775762476,216.24317377122463,9.298743814813369,225.95803183625705,0,0,normal
17.74750179678737,11.22181207795892,21.05085431840777,286.15003594266085,6.112002387479899,463.28606254314286,0,0,normal
14.76896296349005,5.13795395639087,17.419549050173742,168.69540331243056,8.682047831173742,334.24077078112805,0,0,normal
15.751895136555383,8.54174250672239,19.015994080843825,203.19294004395613,6.144468735230983,340.2831263748668,0,0,normal
13.920481126704733,7.385043222991782,29.715688541359057,129.22889700751514,6.907189415160678,323.64600484792254,0,0,normal
14.902990537661411,10.207883583409526,27.006288049416494,126.8758634176962,3.180469895796396,429.9096125579668,0,0,normal
17.51297248892142,5.261703751204801,22.8918538056982,161.75199738031657,6.7551769251452765,391.2245470366703,0,0,normal
12.118541137027696,13.317559051215376,25.860712627478712,230.2368251190352,5.610778216640215,284.76088458102504,0,0,normal
19.671456339921413,13.176663690553807,18.55818643885015,111.51945372696994,0.0576892447558274,396.2398316484507,0,0,normal
15.446830364493035,7.012043036989194,20.052791730847204,197.80343030097515,3.640984856307592,285.03798201559505,0,0,normal
18.776513146417123,10.953454818909414,16.79984174135698,159.7187526357465,5.492103619082711,269.54866118065627,0,0,normal
16.11354219549007,8.335636674505231,23.304458127137643,197.94670913439435,0.0572665904973812,295.57276293411365,0,0,normal
12.810353478486638,8.35929598260971,28.79709213549576,298.7198821776765,3.036118078049613,453.956254024534,0,0,normal
13.412585904776291,14.319430138373344,28.51535203493613,218.18282053400867,8.913733291407196,360.7055328922656,0,0,normal
15.85223005483672,6.273596948049333,17.042789491833304,213.7246499767424,3.219843047717441,438.2655828160295,0,0,normal
18.65337918273604,9.8748789960878,24.26982471567752,235.3994589346592,0.3764616623594663,363.6812505417178,0,0,normal
14.600206923889887,5.895130328734104,19.08654102387065,147.82961384335886,7.563353292252594,307.9172025263055,0,0,normal
10.670808102318407,12.430414612402402,29.7261432265944,299.4073086080988,9.916480745965258,439.8543026365816,0,0,normal
15.351775579907972,5.324986576575914,27.2159858733609,140.8655059615552,8.383459700600135,457.2790376614235,0,0,normal
15.88717759522164,11.61656989472546,29.24653620724484,280.90823053278825,3.600093082621374,230.3556338439328,0,0,normal
19.56269812684476,12.77717538048307,22.7440043057661,195.1351610190544,9.57615678441416,234.6035249240044,0,0,normal
19.756265360137554,14.214589784769306,29.442091151064385,275.3192729722534,6.78979940359164,256.2498952929323,0,0,normal
16.224301347759678,13.36325762046214,19.12619938594573,126.86272845210178,9.2262580933557,422.3736077848667,0,0,normal
